Zählen	6
hoch	4
runter	6
Hallo	5
Grüße	5
Hi	2
Welt	4
Erde	4
Der Zähler ist jetzt bei dreißig	32
Wir sind jetzt bei fünfundreßig	31
Hallo	5
Hallo zurück	12
OK	2
Automatische Lautstärke aktiviert	33
Ich habe die automatische Lautstärke aktiviert	46
Aktiviere die automatische Lautstärke	37
Setze die automatische Lautstärke auf aktiv	43
Schalte die automatische Lautstärke an	38
Stelle die automatische Lautstärke auf an	41
Die Automatische Lautstärke ist deaktiviert	43
Ich habe die automatische Lautstärke nun deaktiviert	52
Deaktiviere die automatische Lautstärke	39
Stelle die automatische Lautstärke auf inaktiv	46
Schalte die automatische Lautstärke aus	39
Stelle die automatische Lautstärke auf aus	42
Ich habe die automatische Lautstärke nun zurückgesetzt	54
Deaktiviere die automatische Lautstärkemessung	46
Lösche die automatische Lautstärkemessung	41
Setze die automatische Lautstärkemessung zurück	47
Hier sind die Gute Nacht Geschichten aus meiner Bibliothek.	62
Liste die Gute-Nacht-Geschichten auf	36
Welche Geschichten hast du	26
Welche Gute Nacht Geschichten hast du	37
Okay, lass mich sehen, ob ich diese Geschichte habe.	52
erzähl mir Herr der Ringe	25
lies mir Harry potter vor	25
lies mir die Biebel vor	23
Erzähl mir ein Märchen	22
Okay, sicher. Hier ist eine große Auswahl aus meiner Bibliothek.	64
Kein Problem, mach es dir bequem während ich eine Geschichte auswähle.	70
Erzähl mir eine Geschichte	26
Erzähl mir eine Gute Nacht Geschichte	37
Erzähl mir ein Märchen	22
Erzähl uns eine Geschichte	26
Erzähl mir eine gute Geschichte	31
Rotkäppchen	11
Goldlöckchen und die drei Bären	31
Hänsel und Gretel	17
Das Samtkaninchen	17
Rumpelstilzchen	15
Des Königs neue Kleider	23
Die Prinzessin auf der Erbse	28
Die Wichtelmänner	17
Peter Hase	10
Es ward die Nacht vor Weihnachten	33
aktiviere	9
starte	6
rufe	4
Auslöser	8
Szene	5
Automatisierung	15
Skript	6
reduziere	9
herunter	8
wo	2
orte	4
erhöhe	6
herauf	6
heller machen	13
trüb	4
Licht	5
Lichter	7
Lampe	5
Lampen	6
Glühbirne	9
Glühbirnen	10
LED	3
einschalten	11
schalte	7
schalte	7
Zustand	7
Status	6
Sensor	6
De­tek­tor	10
Wert	4
lies	4
wie ist der aktuelle	20
was ist aktuell	15
sage mir den aktuellen	22
sage mir aktuelles	18
setze	5
drehe	5
Aktiviere Wohnzimmer	20
Automation Rolladen ausgelöst.	30
Party wird ausgelöst.	21
zocken wurde ausgelöst.	23
Schlaftimmer wurde aktiviert.	29
Küche aktiviert.	16
wie hell? du kannst eine Einstellung zwischen und wählen.	57
Kann Flur nicht dimmen. Es ist nicht dimmbar.	45
Kann Bad nicht dimmen. Es ist aus.	34
Kann Kinderzimmer nicht dimmen. Bitte schalte es vorher an.	59
Ich habe Arbeitszimmer auf sechzig Prozent gedimmt.	51
Ich habe Keller gedimmt.	24
Setze die Helligkeit im Hobbyraum auf zehn Prozent.	51
Helligkeit von Wohnzimmer wurde auf zwanzig Prozent erhöht.	59
Helligkeit von Schalfzimmer erhöht.	35
Fernseher ist bereits am eingeschaltet.	39
Keine Änderungen an Deckenlampe vorgenommen.	44
Küche ausgeschaltet.	20
Herd ausgeschaltet.	19
Lampe ist nun aus.	18
Büro ist eingeschaltet.	23
Spielzimmer wurde angeschaltet.	31
Badezimmer eingeschaltet.	25
Flur ist umgeschaltet.	22
Gang wurde umgeschaltet.	24
Entschuldigung, ich kann das Home Assistant-Objekt nicht finden	63
Objekt	6
Entschuldigung, Objekt	22
Entschuldigung, ich war nicht in der Lage, es zu finden	55
Der Home Assistant Server ist anscheinend offline.	50
Konnte den Home Assistant-Server nicht erreichen.	49
Der Home Assistant Server antwortete nicht.	43
Ich weiß nicht, was du von mir willst.	38
Konnte nicht herausfinden, wie man mit dem Home Assistenten spricht.	68
Ich habe leider nicht verstanden, was du gefragt hast.	54
Im Moment ist Wohnzimmer bei vierzig Prozent.	45
Schlafzimmer hat den Wert: fünfzehn Grad.	41
Bad hat zur Zeit den Wert siebzehn Gard.	40
Badezimmer ist bei achtzehn Grad.	33
Der letzte bekannte Aufenthaltsort von Andreas ist Zuhause.	59
Dieter ist bei der Arbeit.	26
Sigrid wurde im Haus entdeckt.	30
Tomaten holen wurde zur einkaufen Liste hinzugefügt	51
füge Zuchini zu meiner Einkaufsliste hinzu	42
füge Erdbeeren zu Liste Besorgungen hinzu	41
füge	4
Ich habe Kleider waschen von der Liste Aufgaben wieder entfernt	63
Steuererklährung, sonst noch etwas?	35
Ok, die Aufgaben sind zu der Liste Büro hinzugefügt	51
authentifiziere Michael erinnere mich an die Milch	50
vervollständige	15
willst du es vervollständigen	29
was ist an	10
Was ist zu tun	14
finde Abreitsplan	17
Ich habe Karotten auf der liste Essen gefunden	46
Finde Früchte auf meiner Wochenmarkt Liste	42
Finde Bananen auf der Liste Essenswunsch	40
finde	5
Fehler in Search in Linie siebenunsechzig	41
Hol dir ein Token für Spotify	29
Hole Token	10
Entschuldigung, ich konnte keine Liste die Einkaufen heißt finden	65
Ok, ich werde es vergessen	26
nein	4
tu nicht	8
Ich weiß nicht über welche Aufgabe wir reden	44
Es sind keine Aufgaben auf der neusten Liste	44
Liste neu hat keine Zitronen drin	33
Lese Meiner letzten Liste	25
lese liste Bürosachen	21
lies	4
Liste Frauensachen hat eine Aufgabe auf sich	44
Rückgängig	10
zurückkehren	12
zurückrollen	12
wiederherstellen	16
die am montag fällig sind	25
bestätige	9
ja	2
ich mache	9
Gehirn	6
Erinnerung	10
Wissen	6
alles	5
vergiss	7
setze zurück	12
Lösche Wissensdatenbank	23
vergesse alles	14
Okay, ich werde nun meine Erinnerung zurücksetzen	49
Erinnerungslöschung begonnen	28
nochmal	7
Zutat	5
Zutaten	7
was wird für ein Drink benötigt	31
was brauche ich für ein vodka tonik	35
was sind die Zutaten von ein cosmopoliton	41
Entschuldigung, ich konnte den gefragten Drink nicht finden	59
Ich fürchte, ich konnte das nicht finden	40
wie mache ich ein Espresso-Tonic	32
